dstport,protocol,tag
1,tcp,sv_P1
2,tcp,sv_P1
3,tcp,sv_P2
4,udp,sv_P1
5,udp,sv_P1
6,udp,sv_P1
7,icmp,sv_P1
8,icmp,sv_P2
9,tcp,email
10,tcp,email
11,icmp,sv_P2
12,tcp,email
13,tcp,email
14,icmp,sv_P1
15,icmp,sv_P1
16,tcp,sv_P1
17,icmp,sv_P2
18,tcp,email
19,udp,sv_P2
20,udp,sv_P2
21,udp,email
22,tcp,email
23,tcp,email
24,icmp,email
25,icmp,email
26,icmp,email
27,udp,sv_P2
28,udp,email
29,icmp,sv_P2
30,udp,sv_P2
31,tcp,email
32,udp,email
33,udp,email
34,udp,sv_P1
35,icmp,email
36,tcp,sv_P1
37,udp,sv_P1
38,tcp,email
39,tcp,sv_P2
40,icmp,email
41,tcp,email
42,icmp,email
43,tcp,sv_P1
44,icmp,sv_P2
45,icmp,sv_P1
46,tcp,sv_P1
47,udp,sv_P2
48,icmp,sv_P2
49,udp,sv_P1
50,icmp,sv_P2
51,tcp,sv_P2
52,tcp,sv_P1
53,tcp,sv_P2
54,udp,email
55,udp,email
56,icmp,sv_P2
57,udp,sv_P2
58,icmp,sv_P1
59,udp,sv_P1
60,icmp,sv_P2
61,udp,sv_P2
62,tcp,sv_P2
63,tcp,sv_P1
64,tcp,sv_P1
65,tcp,email
66,icmp,email
67,icmp,sv_P1
68,udp,email
69,icmp,email
70,udp,sv_P1
71,udp,email
72,tcp,email
73,tcp,sv_P2
74,tcp,sv_P2
75,icmp,sv_P2
76,tcp,sv_P2
77,tcp,sv_P1
78,icmp,sv_P2
79,udp,sv_P2
80,icmp,email
81,icmp,sv_P2
82,tcp,sv_P2
83,tcp,email
84,tcp,email
85,tcp,email
86,icmp,sv_P2
87,icmp,sv_P1
88,icmp,email
89,tcp,email
90,tcp,sv_P2
91,icmp,sv_P2
92,udp,sv_P1
93,udp,sv_P1
94,icmp,sv_P2
95,tcp,sv_P1
96,udp,sv_P1
97,tcp,sv_P2
98,tcp,email
99,tcp,sv_P1
100,icmp,sv_P1
101,tcp,sv_P2
102,tcp,email
103,icmp,sv_P1
104,icmp,sv_P2
105,icmp,sv_P2
106,icmp,sv_P2
107,udp,email
108,udp,email
109,icmp,sv_P1
110,tcp,email
111,udp,sv_P2
112,udp,sv_P1
113,tcp,sv_P1
114,udp,sv_P1
115,icmp,email
116,icmp,email
117,udp,sv_P1
118,udp,sv_P2
119,udp,email
120,udp,sv_P2
121,icmp,email
122,icmp,sv_P1
123,icmp,sv_P2
124,icmp,sv_P1
125,udp,sv_P2
126,tcp,email
127,icmp,sv_P1
128,tcp,sv_P1
129,icmp,sv_P2
130,tcp,sv_P1
131,icmp,email
132,udp,email
133,icmp,sv_P1
134,tcp,sv_P2
135,icmp,email
136,udp,sv_P2
137,udp,sv_P2
138,tcp,sv_P1
139,udp,sv_P1
140,tcp,email
141,icmp,sv_P2
142,tcp,sv_P2
143,icmp,email
144,udp,sv_P2
145,udp,sv_P1
146,udp,email
147,udp,sv_P2
148,icmp,email
149,tcp,sv_P2
150,udp,email
151,tcp,sv_P2
152,icmp,email
153,udp,sv_P2
154,tcp,sv_P1
155,tcp,email
156,tcp,email
157,tcp,sv_P2
158,udp,sv_P2
159,tcp,email
160,udp,sv_P1
161,icmp,email
162,icmp,email
163,icmp,email
164,tcp,email
165,udp,sv_P2
166,icmp,sv_P2
167,icmp,sv_P2
168,icmp,sv_P2
169,udp,email
170,icmp,sv_P2
171,udp,sv_P1
172,udp,sv_P2
173,tcp,email
174,icmp,sv_P1
175,tcp,email
176,tcp,sv_P2
177,udp,sv_P2
178,icmp,email
179,icmp,email
180,udp,sv_P1
181,tcp,sv_P2
182,udp,sv_P2
183,icmp,email
184,icmp,email
185,udp,sv_P2
186,tcp,sv_P1
187,icmp,email
188,icmp,email
189,udp,sv_P2
190,icmp,email
191,tcp,sv_P2
192,udp,sv_P2
193,icmp,email
194,icmp,sv_P2
195,udp,sv_P2
196,udp,sv_P1
197,icmp,sv_P1
198,icmp,sv_P1
199,udp,sv_P2
200,icmp,sv_P1
201,udp,sv_P2
202,tcp,email
203,icmp,sv_P2
204,udp,sv_P1
205,icmp,sv_P1
206,tcp,email
207,icmp,email
208,tcp,sv_P1
209,icmp,email
210,udp,sv_P2
211,icmp,email
212,icmp,sv_P1
213,udp,sv_P1
214,udp,sv_P1
215,icmp,sv_P1
216,icmp,email
217,icmp,sv_P1
218,tcp,email
219,udp,sv_P2
220,udp,sv_P1
221,icmp,sv_P1
222,udp,email
223,tcp,sv_P1
224,icmp,sv_P2
225,udp,sv_P1
226,udp,sv_P1
227,udp,sv_P2
228,tcp,sv_P2
229,icmp,email
230,udp,sv_P2
231,icmp,email
232,tcp,sv_P2
233,icmp,email
234,icmp,sv_P2
235,tcp,sv_P2
236,tcp,sv_P2
237,tcp,sv_P2
238,tcp,sv_P1
239,icmp,email
240,icmp,sv_P1
241,tcp,email
242,icmp,sv_P1
243,tcp,sv_P1
244,udp,sv_P2
245,udp,sv_P2
246,tcp,email
247,tcp,sv_P2
248,udp,sv_P1
249,icmp,sv_P1
250,icmp,sv_P1
251,tcp,email
252,tcp,sv_P1
253,udp,sv_P2
254,tcp,email
255,udp,email
256,tcp,sv_P2
257,udp,sv_P1
258,icmp,email
259,tcp,sv_P2
260,udp,sv_P2
261,udp,email
262,tcp,sv_P1
263,tcp,sv_P2
264,udp,sv_P2
265,icmp,sv_P1
266,icmp,email
